lucidrains_imagen-pytorch/0|code-chunk-ast|1-hop|1.0
lucidrains_imagen-pytorch/0|code-chunk-ast|H-hop|1.0
lucidrains_imagen-pytorch/0|code-chunk-fixed|1-hop|1.0
lucidrains_imagen-pytorch/0|code-chunk-fixed|H-hop|1.0
lucidrains_imagen-pytorch/1|code-chunk-ast|1-hop|1.0
lucidrains_imagen-pytorch/1|code-chunk-ast|H-hop|1.0
lucidrains_imagen-pytorch/1|code-chunk-fixed|1-hop|1.0
lucidrains_imagen-pytorch/1|code-chunk-fixed|H-hop|1.0
lucidrains_imagen-pytorch/10|code-chunk-ast|1-hop|1.0
lucidrains_imagen-pytorch/10|code-chunk-ast|H-hop|1.0
lucidrains_imagen-pytorch/10|code-chunk-fixed|1-hop|1.0
lucidrains_imagen-pytorch/10|code-chunk-fixed|H-hop|1.0
lucidrains_imagen-pytorch/11|code-chunk-ast|1-hop|1.0
lucidrains_imagen-pytorch/11|code-chunk-ast|H-hop|1.0
lucidrains_imagen-pytorch/11|code-chunk-fixed|1-hop|1.0
lucidrains_imagen-pytorch/11|code-chunk-fixed|H-hop|1.0
lucidrains_imagen-pytorch/12|code-chunk-ast|1-hop|1.0
lucidrains_imagen-pytorch/12|code-chunk-ast|H-hop|1.0
lucidrains_imagen-pytorch/12|code-chunk-fixed|1-hop|1.0
lucidrains_imagen-pytorch/12|code-chunk-fixed|H-hop|1.0
lucidrains_imagen-pytorch/13|code-chunk-ast|1-hop|1.0
lucidrains_imagen-pytorch/13|code-chunk-ast|H-hop|1.0
lucidrains_imagen-pytorch/13|code-chunk-fixed|1-hop|1.0
lucidrains_imagen-pytorch/13|code-chunk-fixed|H-hop|1.0
lucidrains_imagen-pytorch/14|code-chunk-ast|1-hop|1.0
lucidrains_imagen-pytorch/14|code-chunk-ast|H-hop|1.0
lucidrains_imagen-pytorch/14|code-chunk-fixed|1-hop|1.0
lucidrains_imagen-pytorch/14|code-chunk-fixed|H-hop|1.0
lucidrains_imagen-pytorch/15|code-chunk-ast|1-hop|1.0
lucidrains_imagen-pytorch/15|code-chunk-ast|H-hop|1.0
lucidrains_imagen-pytorch/15|code-chunk-fixed|1-hop|1.0
lucidrains_imagen-pytorch/15|code-chunk-fixed|H-hop|1.0
lucidrains_imagen-pytorch/16|code-chunk-ast|1-hop|1.0
lucidrains_imagen-pytorch/16|code-chunk-ast|H-hop|1.0
lucidrains_imagen-pytorch/16|code-chunk-fixed|1-hop|1.0
lucidrains_imagen-pytorch/16|code-chunk-fixed|H-hop|1.0
lucidrains_imagen-pytorch/17|code-chunk-ast|1-hop|1.0
lucidrains_imagen-pytorch/17|code-chunk-ast|H-hop|1.0
